long_description,severity_code
 is broken many users can t enter bugs on it particularly not from a fresh install so we need to pull and post a instead ,4
adding support for custom headers and cookie names involves two steps making session names configurable disabling auto start for sessions this can be accomplished in tiki setup base php though it means in turn that all pages dependent on the hard coded phpsessid cookie along with the basic session handler all need to be refactored to not assume there is a pre existing session i m looking at re implementing some session libs i have from before should do the trick this is a chicken egg problem since we want to use non default cookie names for ns rules we can t have the app auto setting the cookie while simultaneously passing cache headers we need to separate the behavior so it s consistent and predictable for the proxy cache eta is thurs this affect performance and for a couple of reasons it blocks bug ,4
the patch in bug regressed the fix from bug the shouldprocess never blocks anything now see bug comment for more information it d be nice to fix this before next week s freeze ,2
from bugzilla helper user agent mozilla x u linux i en us rv gecko buildid menu items which you can click on the left edge are not displayed this works with the latest internet explorer reproducible always steps to reproduce just display the page actual results the menu items were not displayed and i could not click them expected results it should have displayed the menu items ,2
i found it odd that relogin cgi didn t clear out someone s entry ies from the logincookies table after it logged them out relying instead on confirm login to clear them after they get days old a table can fill up fast that way i ve solved this by adding these two lines to relogin cgi just after the line that says require cgi pl connecttodatabase sendsql delete from logincookies where userid dbname to id url decode cookie bugzilla login the url decode is in there because i found i sometimes had instead of in the bugzilla login cookie and thus it wouldn t recognize the login just wanted to share ,1
mdc appears to have lost all its preferences what s going on ,4
user agent build identifier mozilla windows u windows nt en us rv gecko firefox the navigation part of yahoo mail is way wider than it is in ie i mean it covers the entire screen and you have to use a highly annoying horizontal scroll bar at the bottom reproducible always steps to reproduce log into yahoo mail if the problem did not happen in the first try read a message after reading messages it always happens to me actual results the navigation part with inbox etc links was very very wide expected results it should have stayed neatly on the left side as the yahoo web designers obviously intended it to i m running mozilla firebird i mean firefox with a feb th nightly build i m in x screen resolution ,1
general problem for both beos version netserver and bone is ifdef have stdint h include endif in mozilla calendar libical src libical icalrecur c line beos has inttypes h don t know what place is better to change configure files with check to ac check headers stdint h inttypes h or just icalrecur c file with if defined beos second poblem is in libxpical and specific for bone versions of beos mozilla calendar libxpical token c contains ifdef xp beos include endif which is ok only for netserver version in case of bone version all required definitions are in standard header files so this ifdef must be ommited ,3
if you don t use the showbuilds cgi tree foo urls but foo you get an index of the directory as long as there are no builds on that box yet panel html even s it should give a tree is open closed message instead i guess actually for a newly created tree the showbuilds cgi itself doesn t mention open or closed either ,1
user agent mozilla macintosh u ppc mac os x mach o en us rv b gecko build identifier mozilla macintosh u ppc mac os x mach o en us rv b gecko see screenshot at http web mit edu jamous www mathml mozilla b gif on mathml torture test see url above tests and are broken this problem has happened in all the mozilla versions since beta reproducible always steps to reproduce get mozilla version beta or any version later go to the mathml torture test at http www mozilla org projects mathml demo texvsmml xhtml actual results screenshot at http web mit edu jamous www mathml mozilla b gif expected results give a mathml rendering at least as good as the ones obtained with versions a and earlier see following screenshot with mozilla a http web mit edu jamous www mathml mozilla a gif this bug showed up between versions alpha and beta ,2
created attachment testcase see testcase which crashes current trunk build this regressed between and http hg mozilla org mozilla central pushloghtml startdate a a enddate a a i guess a regression from bug http crash stats mozilla com report index c aff e fd b p xul dll moz cairo matrix multiply gfx cairo cairo src cairo matrix c xul dll gfxmatrix multiply gfx thebes src gfxmatrix cpp xul dll xul dll x aeb xul dll nssvggraphicelement getctm content svg content src nssvggraphicelement cpp xul dll ns invokebyindex p xpcom reflect xptcall src md win xptcinvoke cpp xul dll xpcwrappednative callmethod js src xpconnect src xpcwrappednative cpp ,3
using gok menu no keyboard for menus can be displayed the whole menu bar is not accessible this is critical bugs for firefox a y on unix platform ,3
quicksearch pm defines my cgi bugzilla cgi outside routines this makes perl cwt buglist cgi to fail because buglist cgi uses quicksearch pm i saw this problem a few seconds before committing my patch about the removal of versioncache we have to fix this before committing my patch about versioncache ,2
created attachment patch mozilla js tests runtests sh uses wc to count the number of tests failures fixes and regressions for output to tinderbox on mac wc l returns leading whitespace which causes unintended line breaks on the tinderbox page ,0
various pref panel items missing accesskeys that i didn t find a specific component for appearance themes theme to use box get new themes link language and content packs installed language packs box installed content packs box nagivator display on combobox languages languages in order of preference box helper applications file types box when encountered textbox pfs checkbox smart browsing domain guessing checkbox advanced entire dialog roaming user server information dropdown ,1
jabba set us up a new staging server bm graphs stage over in bug we need to be able to connect to mysql on tm stage master ,3
valgrind spews a lot of these strchr mac replace strmem c nsiniparser findkey char char char int nsiniparser cpp nsiniparser getstring char char char int nsiniparser cpp nsiniparser getstringalloc char char char int nsiniparser cpp address x ee a is bytes after a block of size alloc d malloc vg replace malloc c nsiniparser nsiniparser char nsiniparser cpp nsxicontext loadresources nsxicontext cpp nsxinstaller parseconfig nsxinstaller cpp the file is read into a buffer just big enough for its contents there is no room for null termination ,2
user agent mozilla x u linux i en us rv b gecko bonecho b build identifier mozilla x u linux i en us rv b gecko bonecho b an author reported to me he got the following error when uploading his or her extension error the maxappver for mozilla of in install rdf is invalid error the maxappver for seamonkey of in install rdf is invalid if not done already these versions should be added as well as the latest release builds mozilla and seamonkey reproducible didn t try,1
reported to webmaster mozilla com we should get this cleaned off and figure out captcha or bot protection mechanism maybe something along the lines that morgamic is thinking about for addons mozilla org you have a spam profile on your forum at https labs mozilla com forum index php action profileu we are receiving form spam see below linking to this page original message from website mailto safetyp box bluehost com sent thursday july pm to info safetypartnersinc com subject information request the following information request has been submitted from the website from mr devidr devidr hello home address devid gmail com devid gmail com mexico ny phone fax e mail devid gmail com inquiry hi nice place my sites fake coach purses discount kitchen cabinets http fakecoachpurses blogs experienceproject com html https labs mozilla com forum index php action profileu url http fakecoachpurses blogs experienceproject com html fake coach purses url url https labs mozilla com forum index php action profileu discount kitchen cabinets url end ,2
user agent mozilla x u linux i en us rv a gecko firefox a build identifier mozilla x u linux i en us rv a gecko firefox a change a the line german to german reproducible always,0
dion and i were collaborating on a document when it appears kevin s daemon auto restarted the deadlocked mobwrite i immediately lost the contents of the files i was collaborating on with dion i had saved frequently so i could retrieve the contents by turning collaboration off and then reloading the file and then copying this to the clipboard turning collaboration on which caused the contents to disappear and then pasting it in this should be fixed such that restarting mobwrite causes no loss of data for the user ,4
user agent mozilla windows u windows nt en us rv b gecko build identifier mozilla windows u windows nt en us rv b gecko when scrolling into not visible content on an element that has overflow auto shows the content with a black blackground color this bug might be the same as closed bug but that one has been fixed so i was suggested to open a new one reproducible always steps to reproduce ,2
with firefox set to restore the current windows and tabs open any web page a and scroll down the page a bit open another web page b in another tab also scroll down a bit make sure tab b is the current active one then restart firefox notice that the scroll position on tab b has been restored correctly whereas the scroll position on tab a background tab isn t restored this is with firefox beta the same issue happens with a brand new profile ,1
the script called mozilla webtools miscstats genstats cgi assumes that bonsai and bugzilla are on the same server now that bugzilla is moving to a new server this script has to be updated to take that into account the quick and dirty solution is to run this script on both servers with each script generating only the statistics for its own server the one correct solution tm is to give each server access to the other s mysql installation but this requires thinking through the security issues involved since bugzilla is moving to the new server today i m going to implement the quick and dirty solution for the moment ,3
this is a very popular site linked to by about com where many people learn dhtml and javascript unfortunately much of the code listed is for layers etc and doesn t work well with gecko based browsers the content needs to be updated to work with dom the longer this site continues to have it s bad content the more sites out there will use the bad content ,3
a new window opens and a few secons later mozilla hangs doesn t hang in mozilla using on win xp,2
user agent mozilla macintosh u ppc mac os x mach o en us rv gecko firefox build identifier mozilla macintosh u ppc mac os x mach o en us rv gecko firefox a child window is opened using javascript window open when this window is closed using either the os es red x button or call to javascript self close this is not universally true some factor in the test code in the example url is doubtless responsible i will be spending some time isolating this factor it s killing my app and i want it to stop btw i ve tested this with windows and it does not cause crash reproducible always steps to reproduce go to http www pemburn com poptest index html click the edit button when window pops up close it with cancel button actual results firefox crashes expected results window should close,3
 parent will be null when this is at the top of the volume readonly attribute nsifile parent looking at nslocalfileunix and nslocalfilewin that s not true in those impls in particular the parent of on unix is not sure what the parent is on win exactly could we fix the comment or the impls please i just got into an infinite loop because of this was walking up the dir tree and assumed that i would hit null when i hit the top ,2
in low memory conditions it s possible to get the following assertion failure reported stack trace will follow shortly assertion failure cg stackdepth at jsemit c the root cause is this error handling in jsemit define emit atom index op op atomindex js begin macro if emitatomindexop cx op atomindex cg return js false js end macro emitatomindexop returns a jsbool so any error returned will actually be ignored by mistake leading to the assert fail later in a release build we get stack underflow reported when the compiled script is run and js arenaallocate can get itself into an infinite loop that only exits when malloc fails more details on this soon ,2
from sm bug send button should be disabled until we have a recipient,1
sunbird but not lightning tinderboxen are aflame on linux windows see http tinderbox mozilla org showbuilds cgi tree sunbird hours ,3
created attachment testcase crashes firefox when loaded ,3
sometimes when moving the mouse to a bookmark in the personal toolbar a tooltip appears but doesn t disappear maybe i m too fast when i accidentally click onto this tooltip it disappears but the whole ui hangs can t click onto any buttons or menu only the local window hangs the only option remaining is to close it and open a new one ,2
this seems to be a relative of bug but addint or to path does not help on some systems file in t has a leading that causes trouble filtering that out seems to help the situation ,2
user agent mozilla windows u windows nt de at rv gecko seamonkey build identifier mozilla windows u windows nt de at rv gecko seamonkey german version access key check menu extras hot key p is assigned twice for passwort manager as well as for popup manager reproducible always steps to reproduce go to extras p underlines for password manager and for popup manager too actual results letter p in popup manager underlined expected results in older releases of mozilla letter o was underlined,0
i haven t been able to reproduce this on command and it seems to happen randomly here s what happens i click more info on the firefox beta interface study i have running then click click here to bring up my raw data log everything is logging fine and i ll do some more ui interactions click back etc to test the study everything seems to be logging fine but after a few minutes i ll click click here again to refresh the log and the log will be totally blank no study meta data no events no anything i ll do some more ui interactions click click here again and the new ui interactions i have done are logged correctly but none of the old data is there so my log is only a few lines its just like the log reset tested against mozilla windows u windows nt wow en us rv b gecko firefox b ,3
user agent mozilla windows u windows nt fr rv gecko firefox build identifier mozilla mac gecko firefox rc tinymce wysiwyg editor not does not render the content to be edited on initial reproducible always steps to reproduce go to the web page with firefox rc on mac os x see the beautiful not editable textarea actual results the editor does not load and not allow you to edit the content in the wysiwyg interface expected results the editor should load and allow you to edit the content in the wysiwyg interface ,2
drupal security advisory sa drupal core multiple vulnerabilities was released yesterday need to get qmo patched asap ,3
user agent mozilla x u linux i en us rv gecko firefox build identifier mozilla x u linux i en us rv gecko firefox mozilla modules libpr n decoders xbm nsxbmdecoder cpp nsresult nsxbmdecoder processdata const char adata pruint acount check for x flavor if strstr mpos char misx pr false check for x flavor else if strstr mpos short misx pr true else neither identifier found return for now waiting for more data return ns ok if mstate recv data pruint bpr mframe getimagebytesperrow pruint abpr mframe getalphabytesperrow prbool hibyte pr true do pruint pixel strtoul mpos while endptr isspace endptr endptr skip whitespace looking for comma if endptr endptr endptr mstate recv done strange character or ending if misx hibyte mpos endptr go to next value only when done with this one mpos while mpos the processdata function of the nsxbmdecoder class parse the data of an xbm s format image the bug happens during the re processing of this image format within the libpr n a module activated by default at endptr is incremented until the null terminating character if it s fill by space at mpos is set to endptr if misx and hibyte are null there are option taken from the xbm format s image at mpos is incremented without checking if mpos is null thus the boucle at can not stop depending on the state of the heap i found it is possible to craft such an xbm image to put the heap layout in a predictable state and exploit the bug reliably an attacker could execute arbitrary code on mozilla firefox if a web page is viewed or even within an e mail with a iframe tag reproducible always steps to reproduce nsxbmdecoder processdata this x b e adata x c e define gopher binary width n define gopher binary height nstatic char gopher binary bits n x x x x x x x x x x x x n xff x f x x acount at nsxbmdecoder cpp x fc d in nsxbmdecoder readsegcb ain x e c aclosure x b e afromrawsegment x c e define gopher binary width n define gopher binary height nstatic char gopher binary bits n x x x x x x x x x x x x n xff x f x x atooffset acount awritecount xbfffe at nsxbmdecoder cpp x a in nspipeinputstream readsegments this x e c writer x fc a nsxbmdecoder readsegcb nsiinputstream void char const unsigned int unsigned int unsigned int closure x b e c ount readcount xbfffe c at nspipe cpp x fc in nsxbmdecoder writefrom this x b e ainstr x e c acount aretval xbfffe c at nsxbmdecoder cpp x fadc f in imgrequest ondataavailable this x e d arequest x ctxt x instr x e c sourceoffset count at imgreques t cpp x fa f in proxylistener ondataavailable this x b arequest x ctxt x instr x e c sourceoffset count at imgloa der cpp x ca b b in nsmediadocumentstreamlistener ondataavailable this x a request x ctxt x instr x e c sourceoffset count at nsmediadocument cpp x e in nsdocumentopeninfo ondataavailable this x e request x actxt x instr x e c sourceoffset count at n suriloader cpp x bb in nsfilechannel ondataavailable this x req x a ctx x stream x e c offset count at nsfilechannel cpp x b d in nsinputstreampump onstatetransfer this x a at nsinputstreampump cpp x b ce in nsinputstreampump oninputstreamready this x a stream x e c at nsinputstreampump cpp x f in nsinputstreamreadyevent eventhandler plevent x cadf at nsstreamutils cpp x bbf b in pl handleevent self x cadf at plevent c x bbe in pl processpendingevents self x d fd at plevent c x bf a in nseventqueueimpl processpendingevents this x d ad at nseventqueue cpp x d in event processor callback data x d ad source condition gdk input read at nsappshell cpp x b d in our gdk io invoke source x condition g io in data x f at nsappshell cpp x c in g io add watch from usr lib libglib so x dd in g get current time from usr lib libglib so x a c in g get current time from usr lib libglib so x a e in g main run from usr lib libglib so x f in gtk main from usr lib libgtk so x a in nsappshell run this x d c at nsappshell cpp x cf ea in nsappshellservice run this x d e at nsappshellservice cpp x e cd in xre main argc argv xbffff aappdata x c at nsapprunner cpp x c in main argc argv xbffff at nsbrowserapp cpp define gopher binary width define gopher binary height static char gopher binary bits x x x x x x x x x x x x xff x f x x x x x xa x x x x eof as you can see the image end with a space character when the program assume the image to be clean and contain end tag thus if one is able to control the heap layout it is possible to execute arbitrary code here is some details on how to exploit the bug on linux use a javascript and allocate a lot of local buffer i found jc gc is called at the end of the javascript parsing before any image are loaded and will free all useless because local buffer thus it is easy to allocate in some global array a lot of little bufer to begin so we have the heap layout in a predictable state no hole allocate a few big buffer with isdigit valid character because there is no more heap hole the top chunk of the heap is expended when jc gc return some memory have been freed and thus following allocation will fall in these new heap hole when the image is processed the overflowed buffer will be followed by isdigit character this is junk in the prev size field of the next struct malloc chunk then a will be written on the lsb of the next size field of the next struct malloc chunk on the heap because it is easily possible to inject controlled character on the heap actually that could have been done in the few isdigit valid buffer it is possible to store fake information on the heap and tricks malloc free etc to parse them still in the scheme of doug lea malloc linux this will end by triggering the macro unlink which basically insert a heap chunk in a linked list thus writing a controlled pointer of us to a controlled address of us one can simply overwrite any function pointer like got entry saved eip pointer on the stack and hijack it to point to some injected shellcode exploitation is possible on bsd windows aswell actual results ability to execute whatever code you want expected results stop me ,3
http tinderbox mozilla org showbuilds cgi tree tracemonkey it is stuck removing a file and called winnt mozilla central moz win slave dep unit test but i think that is a misnomer ,2
you should end up with rev of config dist php ,4
user agent mozilla windows u win en us rv gecko build identifier mozilla windows u win en us rv gecko the above url causes mozilla to freeze and need an alt ctl del and end task to get back from it when you try to print or print preview it freezes on preparing reproducible always steps to reproduce open browser go to http ato gov au content notforprofit htm try to print or print preview actual results mozilla freezes expected results printed or previewed the print job i ve also seen this in running on win ,3
the patch for bug introudced this problem attachment the patch has the following line gstatusbar label getselecteditem id gstatusbar label getfileforitem getselecteditem path the noticable change introduced by this is that the status bar shows garbage characters for non ascii file names going back to getselecteditem id chopping off file at the beginning if necessary will solve this ui regression however that s not touching the root cause of the problem because none of command buttons is functional all of them is dimmed out when a non ascii file is selected with or without the change the file operation in other parts of mozilla work fine so that nsifile and nsilocalfile are not to blame getfileforitem is defined in http lxr mozilla org seamonkey source xpfe components download manager resources downloadmanager js as function getfileforitem aelement var itemresource grdfservice getunicoderesource aelement id var fileresource gdownloadview database gettarget itemresource gnc file true fileresource fileresource queryinterface components interfaces nsirdfresource return createlocalfile fileresource value function createlocalfile afilepath i added a couple of dump statements in createlocalfile afilepath and printed out afilepath afilepath is zero extended utf for instance u a in utf it s xc x afilepath should have u a instead it has u c u this symptom suggests that somewhere in rdf related code acstring is used where autf string should have been used recently i ve been working on enabling unicode file i o in windows bug and with that enabled mozilla windows has the same problem as linux under utf locale therefore i think this is an xp issue althouhg i m filing this under linux for now ,2
